sale_id,customer_name,email,product,region,quantity,unit_price,sale_date
90,Dustin Castillo,zbishop@example.com,Mouse,Abuja,2,3581,2026-02-09
91,Melissa Livingston,carmenarnold@example.org,Mouse,Lagos,9,3448,2026-05-04
92,Christopher Benson,xwatson@example.org,Laptop,Lagos,5,666,2025-04-03
93,Sharon Vasquez,cooperedward@example.org,Laptop,Port Harcourt,1,4993,2026-01-01
94,Christopher Lewis,brownandre@example.net,Phone,Port Harcourt,7,4565,2025-01-10
95,Andrew Torres,shawn67@example.net,Tablet,Kano,6,3840,2024-08-17
96,Angela Bishop,fmarquez@example.net,Mouse,Ibadan,5,4317,2024-09-13
97,David Hansen,lharris@example.org,Laptop,Kano,5,1629,2025-09-15
98,Crystal Lee,milesandrew@example.org,Tablet,Lagos,4,3291,2025-05-28
99,Kimberly Brandt,danielcummings@example.org,Printer,Lagos,10,4248,2025-07-13
100,Heather Clark,jimenezsuzanne@example.org,Phone,Port Harcourt,4,1017,2025-05-04
101,Peter Hill,dthomas@example.com,Keyboard,Lagos,9,197,2025-08-04
102,Travis Wallace,rtaylor@example.net,Tablet,Port Harcourt,2,1612,2025-04-16
103,Brandon Montgomery,tina13@example.net,Monitor,Kano,7,2944,2025-08-17
104,Nicholas Brown,mark30@example.net,Monitor,Ibadan,6,693,2024-12-21
105,Derek Scott,sabrina86@example.com,Tablet,Ibadan,3,443,2025-06-14
106,Jerry Wallace,jennifer58@example.net,Laptop,Port Harcourt,3,4509,2024-12-04
107,Matthew Davis,isheppard@example.net,Monitor,Lagos,4,425,2025-09-30
108,Vanessa Miller,franciscosimmons@example.com,Laptop,Kano,6,2719,2025-11-13
109,Ronald Ellison,youngcandace@example.net,Monitor,Ibadan,8,1721,2026-03-11
110,Amanda Smith,cmartinez@example.org,Monitor,Port Harcourt,4,1769,2025-04-22
111,Wesley Webb,charlesgriffin@example.net,Printer,Kano,2,1910,2024-07-10
112,Gregg Ross,jennifer89@example.org,Router,Kano,4,135,2026-06-09
113,Barbara Holland,qharrison@example.org,Laptop,Ibadan,8,4141,2026-06-13
114,Dr. Tracy Jackson DVM,murphydanielle@example.net,Monitor,Abuja,10,3479,2026-05-16
115,Jennifer Williams,rachelwarner@example.net,Printer,Ibadan,10,4443,2025-06-05
116,Sandra Cooper,rbowman@example.org,Laptop,Kano,5,4046,2024-12-13
117,Christine Hayes,raymondjackson@example.net,Router,Kano,6,3778,2026-05-29
118,Joshua Hutchinson,tpeck@example.com,Phone,Port Harcourt,2,814,2025-12-04
119,Connie Lee,xnewman@example.com,Laptop,Abuja,9,181,2025-05-07
120,Cheryl Rose,cooperkaitlyn@example.org,Printer,Ibadan,1,3760,2026-06-09
121,Brett Wise,jasonorr@example.com,Monitor,Abuja,1,368,2025-06-14
122,Eric Dunn,pamela62@example.org,Phone,Ibadan,3,2791,2024-11-28
123,Andrew Bell,amandacarson@example.net,Mouse,Ibadan,4,3065,2024-11-21
124,Jennifer Hatfield,ufreeman@example.org,Router,Lagos,10,3367,2025-12-30
125,Tonya Hall,dwatkins@example.com,Monitor,Ibadan,6,466,2025-07-30
126,Timothy Lane,jessica88@example.org,Phone,Ibadan,1,1121,2025-09-26
127,Carolyn Heath,uperez@example.com,Mouse,Port Harcourt,7,3722,2025-01-13
128,Joseph Perez,hermanchristine@example.com,Mouse,Port Harcourt,10,3100,2025-10-23
129,Jacqueline Padilla,andersonmartin@example.net,Printer,Abuja,7,908,2026-03-14
130,Jennifer Barron,joshualee@example.com,Printer,Abuja,3,1457,2024-12-13
131,Alexa Morales,tiffany01@example.org,Printer,Lagos,6,4460,2026-05-30
132,Alan Patterson,mark28@example.net,Printer,Abuja,10,847,2026-01-05
133,Hayley Pearson,sandra01@example.net,Tablet,Ibadan,2,3584,2025-10-31
134,Toni Gonzales,kevin74@example.org,Printer,Kano,2,2071,2025-02-02
135,Felicia Mcguire,nkhan@example.org,Phone,Kano,4,3939,2026-02-12
136,Michael Ryan,andrewmoore@example.com,Printer,Lagos,8,3057,2024-09-02
137,Bobby Fernandez,brightalexandra@example.org,Keyboard,Port Harcourt,2,4478,2024-11-05
138,Timothy Charles,darin12@example.com,Keyboard,Abuja,8,3197,2025-03-15
139,Kenneth Pittman,acostahunter@example.com,Mouse,Kano,1,4452,2025-11-12
140,Cynthia Perez,sara84@example.com,Mouse,Ibadan,9,1843,2025-06-09
141,William Wang,terri69@example.net,Mouse,Abuja,1,4560,2024-08-03
142,Brian Solomon,erogers@example.org,Keyboard,Abuja,4,1535,2025-09-21
143,Alexis Tyler,gonzaleskyle@example.com,Mouse,Lagos,1,3783,2025-09-18
144,Donald Aguilar,larry79@example.net,Laptop,Lagos,1,4196,2025-09-07
145,William Duke,foxadam@example.org,Phone,Port Harcourt,5,3622,2025-09-28
146,Cynthia Morse,wsilva@example.net,Phone,Ibadan,5,996,2024-10-02
147,Michael Parker,ricejames@example.net,Keyboard,Abuja,6,3564,2024-08-14
148,Michael Kennedy,elizabethallen@example.org,Router,Lagos,1,4742,2025-05-21
149,Katherine Ellis,margaret06@example.net,Monitor,Kano,10,1888,2026-02-18
150,Dr. Lori Morse MD,amelendez@example.net,Monitor,Ibadan,2,4452,2025-12-08
151,Tara Jones,baileybrittany@example.org,Monitor,Abuja,2,3880,2024-07-17
152,Calvin Green,jacqueline66@example.net,Monitor,Lagos,2,4958,2024-08-11
153,Laura Flores,melaniestout@example.com,Printer,Port Harcourt,1,493,2026-02-07
154,Jaclyn Yoder,aortega@example.com,Monitor,Kano,2,1135,2024-09-07
155,Jennifer Bernard,beckersergio@example.org,Laptop,Abuja,5,805,2024-09-22
156,Eric Miller,clarkejulie@example.org,Phone,Lagos,9,1611,2025-06-02
157,Janet Scott,fostertaylor@example.net,Phone,Lagos,10,1593,2026-04-01
158,Edward Cochran,glennmoore@example.org,Laptop,Abuja,4,2529,2024-09-19
159,Mark Pearson,michaelsmith@example.org,Mouse,Abuja,8,2802,2025-02-24
160,Diana Nguyen,taylor46@example.net,Mouse,Port Harcourt,5,1940,2025-05-18
161,Ryan Davis,nicholaswilliams@example.org,Monitor,Port Harcourt,1,4231,2025-12-03
162,Michael Baker,ngrant@example.org,Keyboard,Kano,6,3540,2025-02-14
163,Willie Martinez,jameshardy@example.net,Laptop,Lagos,8,1086,2025-09-24
164,Diamond Small,dennischarles@example.net,Printer,Lagos,1,502,2026-01-09
165,Christopher Boyd,teresakelley@example.com,Monitor,Ibadan,2,4720,2024-11-13
166,Christina Turner,jenkinsdavid@example.net,Router,Kano,9,3977,2025-03-18
167,Samuel English,loganhatfield@example.net,Monitor,Lagos,7,3707,2025-12-03
168,Susan Aguilar,rjennings@example.org,Mouse,Lagos,7,484,2025-12-06
169,Rebekah Rodriguez,cmathis@example.org,Keyboard,Lagos,1,2321,2025-05-01
170,Christopher Johnson MD,lmejia@example.org,Laptop,Kano,1,4677,2025-06-02
171,Amy Russell,brandon62@example.org,Laptop,Lagos,8,234,2024-07-23
172,Michele Hall,matthewellis@example.com,Router,Kano,4,668,2026-01-20
173,Kristin Mccoy,kevin65@example.org,Router,Abuja,4,4319,2025-04-13
174,Jon Hodge,linda43@example.net,Printer,Kano,1,725,2025-11-04
175,Andrea Ochoa,timothy64@example.org,Printer,Port Harcourt,8,4763,2024-09-10
176,Tina Wallace,tjimenez@example.com,Laptop,Ibadan,2,4213,2025-03-25
177,Ian Lee,jessemcintyre@example.net,Keyboard,Abuja,1,4245,2026-01-30
178,Angela King,hartmanmarissa@example.net,Keyboard,Lagos,3,4602,2025-10-28
179,Gregory Alvarez,zbrennan@example.net,Keyboard,Port Harcourt,1,2078,2024-11-25
180,Mark Jenkins,lucasbaird@example.com,Laptop,Abuja,9,3924,2026-04-27
181,Daryl Miller,gibsonkarina@example.net,Printer,Kano,3,2942,2025-06-03
182,Melissa Martin,phillipdavis@example.com,Keyboard,Ibadan,1,3707,2024-09-05
183,Julie Douglas,jesus68@example.net,Tablet,Kano,4,536,2025-12-09
184,Stephen Bass,jamessanchez@example.net,Tablet,Ibadan,1,664,2026-02-06
185,Jenna Banks,ywinters@example.org,Monitor,Ibadan,6,4780,2025-01-05
186,Kaitlyn White,kellydonald@example.net,Keyboard,Abuja,6,2408,2026-05-07
187,Kathryn Butler,david17@example.org,Printer,Abuja,8,3384,2024-10-08
188,Patrick Griffin,kpage@example.com,Laptop,Lagos,2,4882,2026-02-01
189,Samuel Johnson,hilltommy@example.net,Printer,Port Harcourt,4,4771,2024-08-12
190,Erin Vargas,jessica44@example.org,Phone,Abuja,3,1076,2024-08-09
191,Mr. John Foster,gsherman@example.org,Laptop,Kano,6,4212,2026-04-13
192,Monica Hill,darrencarroll@example.org,Tablet,Lagos,5,1417,2025-02-25
193,Nathan Kelley,jennifer93@example.org,Keyboard,Abuja,9,298,2025-06-22
194,Krista Wilson,millsryan@example.org,Phone,Lagos,9,1636,2025-05-22
195,Samantha Bartlett,xmay@example.net,Laptop,Lagos,9,4495,2025-12-06
196,Matthew Bailey,,Mouse,Port Harcourt,7,2842,2025-11-20
197,Allen Ramirez,daviskimberly@example.com,Mouse,Kano,1,1686,2025-04-17
198,Jill Martin,robert64@example.org,Monitor,Abuja,1,318,2026-04-07
199,Gregory Stewart,pamelahull@example.net,Laptop,Ibadan,9,2616,2026-06-21
200,Rodney Johnson,traci54@example.net,Printer,Ibadan,8,676,2026-05-07
201,Amanda Olson,ubarton@example.net,Keyboard,Abuja,2,4675,2025-12-13
202,Jonathan Norris,vhale@example.net,Phone,Lagos,3,1789,2025-01-10
203,Angela Walker,patricialewis@example.net,Mouse,Lagos,4,329,2025-01-02
204,Tyler Watson,dennis58@example.net,Phone,Abuja,1,2236,2025-03-16
205,Robert Hodge,iduffy@example.org,Laptop,Abuja,10,1977,2025-10-06
206,Angelica White,greid@example.com,Mouse,Kano,7,3787,2025-06-23
207,Deborah Cannon,moralessherry@example.org,Tablet,Port Harcourt,5,1106,2025-12-23
208,Patricia Travis,johnbernard@example.com,Laptop,Lagos,5,3657,2026-04-06
209,Cody Wilson,jjones@example.com,Tablet,Kano,8,4789,2025-09-16
210,Jessica Wilkinson,lisa17@example.com,Mouse,Kano,3,3476,2026-05-09
211,Ryan Ford,john87@example.org,Printer,Abuja,3,1474,2026-03-23
212,Jessica Ross,tammyallen@example.com,Laptop,Ibadan,2,4574,2026-01-25
213,Phillip Robertson,igill@example.net,Phone,Ibadan,4,1779,2024-10-27
214,Danielle Marsh,qcole@example.org,Router,Kano,2,2507,2026-02-23
215,Janice Rodgers,barbarataylor@example.org,Router,Ibadan,10,2460,2025-06-14
216,Keith Benson,pricejudy@example.com,Laptop,Abuja,7,604,2025-03-31
217,Amy Smith,wstanton@example.com,Laptop,Kano,6,253,2025-02-02
218,John Perez,lindahodges@example.com,Monitor,Abuja,5,1928,2026-01-30
219,Jonathan Burnett,christopher99@example.com,Router,Kano,1,2837,2025-06-23
220,Sarah Walter,angela78@example.com,Keyboard,Lagos,4,2579,2024-12-03
221,Richard Walker,barkerchristopher@example.com,Keyboard,Lagos,2,2443,2024-12-04
222,Daniel Brock,katelyn91@example.com,Tablet,Abuja,4,1242,2025-02-13
223,Monica Drake,ericahunter@example.net,Mouse,Kano,10,4431,2025-09-23
224,Hunter Peterson,wmays@example.com,Monitor,Ibadan,10,3191,2025-11-17
225,Wanda Dunn,fstevenson@example.com,Tablet,Lagos,4,2803,2024-08-30
226,Kevin Bennett,hectorhayden@example.com,Laptop,Lagos,4,2664,2026-05-11
227,Rachel Newman,kwheeler@example.net,Laptop,Lagos,5,850,2024-09-13
228,Daniel Clark,joditorres@example.com,Phone,Port Harcourt,3,647,2025-03-31
229,Antonio Johnston,henry46@example.com,Mouse,Kano,10,4666,2024-07-30
230,Ian Wright,kevinarmstrong@example.org,Keyboard,Lagos,2,2330,2026-03-04
231,Kathleen Hill,daniellejohnson@example.net,Mouse,Lagos,3,999,2025-11-26
232,Bernard Wells,amandahess@example.net,Printer,Port Harcourt,9,4920,2025-02-07
233,Zachary Dawson,julie81@example.org,Tablet,Abuja,4,4414,2026-02-12
234,Brittney Young,burnsjoshua@example.org,Tablet,Port Harcourt,5,2741,2024-09-18
235,Michelle Bryant,karenlawrence@example.org,Laptop,Lagos,2,4947,2026-04-14
236,Michael Rose,williambell@example.com,Phone,Lagos,10,4140,2025-06-22
237,Tina Johnson,carlosbrown@example.net,Keyboard,Port Harcourt,5,2713,2026-06-10
238,Nicole Martin,ijones@example.org,Phone,Lagos,6,2289,2025-06-26
239,Katelyn Schmidt,brendamoran@example.net,Mouse,Lagos,3,250,2024-07-11
240,Jonathan Hoover,rcastillo@example.net,Keyboard,Kano,6,2529,2025-04-25
241,Lindsey Meadows,henry01@example.com,Keyboard,Abuja,6,3995,2025-09-04
242,Cheryl Williams,alexis04@example.net,Tablet,Lagos,7,2758,2024-10-10
243,Zachary Castillo,hansensamantha@example.org,Tablet,Abuja,9,1480,2024-11-17
244,Michelle Estrada,christina30@example.org,Phone,Lagos,3,2688,2025-09-26
245,Nancy Brown,daniel70@example.org,Tablet,Abuja,9,579,2025-08-28
246,James Lowe,wgibson@example.org,Mouse,Lagos,9,3605,2025-12-14
247,Daniel Neal,singletonmelinda@example.org,Phone,Kano,4,551,2026-02-09
248,Lisa Jones,kevin08@example.org,Keyboard,Kano,8,2714,2025-01-23
249,Victor White,chadedwards@example.com,Keyboard,Ibadan,3,2486,2025-09-26
250,Steven Hayes,carl30@example.net,Monitor,Port Harcourt,4,3728,2026-06-12
251,Carl Fleming DDS,reevesmisty@example.com,Mouse,Ibadan,7,4206,2025-04-02
252,Susan Lopez,bishopchristian@example.org,Tablet,Kano,10,4980,2025-10-15
253,Susan Zimmerman,gkrause@example.net,Laptop,Abuja,7,4427,2026-05-03
254,Erin Mullins,walkerkathy@example.com,Router,Kano,8,3545,2024-12-19
255,Sara Tate,tammybrown@example.org,Laptop,Abuja,6,3166,2026-03-21
256,Jennifer Adams,leahkirk@example.net,Laptop,Abuja,7,2823,2025-07-08
257,William Weber,riverajoshua@example.com,Printer,Port Harcourt,9,1229,2026-04-12
258,Debbie Wagner,greg15@example.net,Mouse,Port Harcourt,3,508,2024-08-23
259,Melissa Proctor,galvanjillian@example.org,Printer,Kano,10,1877,2024-08-18
260,Derrick Miller,bthomas@example.net,Monitor,Lagos,10,4724,2025-03-26
261,Lisa Diaz,gallison@example.org,Laptop,Lagos,2,3343,2024-12-15
262,Mr. Bobby Jones,qfisher@example.com,Router,Abuja,6,3332,2025-07-10
263,John Rogers,pbowen@example.net,Monitor,Kano,9,1998,2025-06-26
264,Dawn Todd,arnoldchristopher@example.org,Monitor,Lagos,7,180,2025-07-08
265,Deanna Morris,redwards@example.com,Phone,Abuja,3,218,2026-03-18
266,Jennifer Riley,jessicaharris@example.com,Tablet,Ibadan,2,3227,2025-12-20
267,Nathan Walker,rachel49@example.com,Laptop,Lagos,6,4402,2024-08-05
268,Sarah Ford,parkerlewis@example.org,Laptop,Lagos,8,2495,2025-04-01
269,Tina Knight,palmersue@example.net,Printer,Ibadan,9,2440,2024-08-24
270,Melissa Wade,jenniferbailey@example.net,Keyboard,Abuja,8,4837,2025-04-05
271,Amy Wright,,Monitor,Port Harcourt,5,4886,2025-09-25
272,Nicole Henson,dustinstone@example.org,Keyboard,Ibadan,9,4722,2025-11-21
273,Denise Bradshaw,alvaradokevin@example.com,Tablet,Kano,7,1003,2026-02-01
274,Michael Burke MD,,Mouse,Kano,7,559,2024-07-01
275,Samantha Anderson,phillipandrews@example.org,Laptop,Port Harcourt,5,3308,2025-11-08
276,Mr. Craig Savage DDS,edwin00@example.com,Laptop,Port Harcourt,2,4434,2026-04-20
277,Steven Johnson,antoniowalker@example.org,Phone,Ibadan,9,1541,2024-11-09
278,Deborah Ochoa,johnsonandrea@example.org,Mouse,Port Harcourt,9,1668,2024-07-16
279,Laura Atkinson,tjones@example.org,Tablet,Lagos,2,2299,2026-04-01
280,Bryan Hardy,gwright@example.com,Printer,Ibadan,8,3357,2026-03-11
281,Jennifer Mejia,stafforddonna@example.net,Monitor,Ibadan,2,3437,2026-02-19
282,Allen Scott,burnsmatthew@example.net,Printer,Lagos,5,1177,2024-08-22
283,Michael Martinez,rwright@example.org,Tablet,Ibadan,8,2126,2024-07-20
284,Allen Cole,susan35@example.org,Keyboard,Kano,4,1460,2026-02-27
285,Morgan Parker,martinkevin@example.net,Router,Lagos,3,2935,2025-09-26
286,John Oneal,christopher48@example.com,Keyboard,Port Harcourt,5,1250,2025-02-25
287,Zachary Oconnor,mcfarlandrachel@example.com,Laptop,Abuja,10,4417,2025-08-01
288,Angela Gilbert,ryan94@example.net,Monitor,Kano,4,982,2026-03-24
289,Scott Love,tsmith@example.com,Router,Ibadan,2,2942,2026-01-21
290,Adam Strong,emily16@example.com,Tablet,Port Harcourt,7,4412,2026-05-24
291,Olivia Davis,millerkeith@example.com,Laptop,Kano,4,735,2025-08-03
292,David Rice,jeffrey19@example.org,Router,Abuja,10,2393,2026-05-27
293,Joshua Cline,cassidy86@example.com,Router,Lagos,2,3631,2026-05-03
294,Renee Reyes,brandy67@example.net,Laptop,Lagos,8,779,2024-09-29
295,Sergio Smith,zgardner@example.org,Monitor,Ibadan,5,2104,2025-05-01
296,Kelsey Rogers,vancelisa@example.com,Tablet,Port Harcourt,3,2155,2026-03-23
297,Steven Campbell,virginia10@example.com,Laptop,Ibadan,6,2310,2024-12-09
298,Robin Carrillo,andreamorris@example.net,Tablet,Kano,9,3100,2025-10-19
299,Krystal Fox,gmcguire@example.com,Router,Ibadan,1,576,2025-05-04
300,Renee Spencer,kimberlyblevins@example.net,Keyboard,Abuja,5,1347,2024-09-22
301,Darlene King,rhonda60@example.net,Router,Abuja,8,3843,2024-08-16
302,Anthony Padilla,ischultz@example.com,Keyboard,Port Harcourt,3,2845,2024-09-09
303,Brooke Rose,michelleburke@example.org,Router,Abuja,6,655,2026-03-09
304,Preston Schultz,whiteheaddavid@example.org,Tablet,Kano,6,2633,2024-08-18
305,Emily Mann,xbaker@example.org,Router,Kano,1,4602,2025-10-10
306,Valerie Brown,katherine70@example.net,Router,Port Harcourt,8,686,2024-10-11
307,Patrick Frost,ericflores@example.com,Monitor,Ibadan,5,1132,2025-11-26
308,Randy White,donovanhannah@example.net,Tablet,Port Harcourt,10,2021,2026-05-17
309,Benjamin Steele,garciadarryl@example.org,Tablet,Kano,5,747,2025-04-24
310,Pamela Watson,jennifercook@example.net,Printer,Kano,10,3440,2025-07-12
311,Brenda Olsen,shelley35@example.net,Phone,Kano,3,3345,2025-08-21
312,Brandi Jones PhD,,Router,Ibadan,1,862,2025-04-21
313,Laura Gardner,ashleygutierrez@example.com,Mouse,Ibadan,7,563,2024-12-26
314,Misty Johnson,danielpope@example.net,Printer,Kano,8,2922,2025-04-11
315,Zachary Logan,manuelortiz@example.com,Phone,Kano,8,766,2026-06-02
316,Michael Phillips,martinmichael@example.com,Router,Port Harcourt,6,1119,2025-06-01
317,Andre Pollard,johnsoneric@example.net,Printer,Lagos,7,4825,2026-03-08
318,Gina Hudson,ryanalejandro@example.net,Tablet,Abuja,10,2971,2026-01-30
319,Kyle Perez,toddgutierrez@example.com,Tablet,Kano,4,1660,2026-04-13
320,Linda Robbins,julieowens@example.com,Laptop,Lagos,10,429,2025-03-09
321,Anna Terry,zpaul@example.net,Printer,Lagos,4,3530,2025-07-11
322,Trevor Church,christianmcgrath@example.net,Printer,Lagos,2,3931,2024-12-10
323,Jacob Fitzgerald,alanmyers@example.net,Tablet,Lagos,3,4139,2024-12-17
324,Joseph Caldwell,ericramirez@example.net,Router,Ibadan,10,4798,2024-09-17
325,Chase Greene,willie30@example.net,Printer,Kano,3,1353,2026-01-07
326,Kristen Long,whitelisa@example.net,Tablet,Ibadan,10,1943,2025-12-10
327,Mrs. Susan Lambert,veronicamclean@example.net,Mouse,Port Harcourt,4,552,2026-05-19
328,Ronald Martin,xdavis@example.org,Tablet,Port Harcourt,9,805,2025-04-28
329,Kimberly Henry,falvarado@example.com,Keyboard,Lagos,8,3567,2024-11-18
330,Casey Henson,catherineprice@example.org,Keyboard,Ibadan,4,2148,2024-08-18
331,Mr. Thomas Ramirez,janicemejia@example.com,Printer,Lagos,10,929,2025-04-29
